Win#   	MACD-8  	roll  	rolls since shift
08474  	d8ebedfa  	3639340538  	429497
08475  	d8f27bb3  	3639770035  	429497
08476  	d8f9096b  	3640199531  	429496
08477  	d8ff9724  	3640629028  	429497
08478  	d90624dd  	3641058525  	429497
08479  	d90cb296  	3641488022  	429497
08480  	d913404e  	3641917518  	429496
08481  	d919ce07  	3642347015  	429497
08482  	d9205bc0  	3642776512  	429497
08483  	d926e978  	3643206008  	429496
08484  	d92d7731  	3643635505  	429497
08485  	d93404ea  	3644065002  	429497
08486  	d93a92a3  	3644494499  	429497
08487  	d941205b  	3644923995  	429496
08488  	d947ae14  	3645353492  	429497
08489  	d94e3bcd  	3645782989  	429497
08490  	d954c986  	3646212486  	429497
08491  	d95b573e  	3646641982  	429496
08492  	d961e4f7  	3647071479  	429497
08493  	d96872b0  	3647500976  	429497
08494  	d96f0069  	3647930473  	429497
08495  	d9758e21  	3648359969  	429496
08496  	d97c1bda  	3648789466  	429497
08497  	d982a993  	3649218963  	429497
08498  	d989374b  	3649648459  	429496
08499  	d98fc504  	3650077956  	429497
08500  	d99652bd  	3650507453  	429497
08501  	d99ce076  	3650936950  	429497
08502  	d9a36e2e  	3651366446  	429496
08503  	d9a9fbe7  	3651795943  	429497
08504  	d9b089a0  	3652225440  	429497
08505  	d9b71759  	3652654937  	429497
08506  	d9bda511  	3653084433  	429496
08507  	d9c432ca  	3653513930  	429497
08508  	d9cac083  	3653943427  	429497
08509  	d9d14e3b  	3654372923  	429496
08510  	d9d7dbf4  	3654802420  	429497
08511  	d9de69ad  	3655231917  	429497
08512  	d9e4f766  	3655661414  	429497
08513  	d9eb851e  	3656090910  	429496
08514  	d9f212d7  	3656520407  	429497
08515  	d9f8a090  	3656949904  	429497
08516  	d9ff2e49  	3657379401  	429497
08517  	da05bc01  	3657808897  	429496
08518  	da0c49ba  	3658238394  	429497
08519  	da12d773  	3658667891  	429497
08520  	da19652b  	3659097387  	429496
08521  	da1ff2e4  	3659526884  	429497
08522  	da26809d  	3659956381  	429497
08523  	da2d0e56  	3660385878  	429497
08524  	da339c0e  	3660815374  	429496
08525  	da3a29c7  	3661244871  	429497
08526  	da40b780  	3661674368  	429497
08527  	da474539  	3662103865  	429497
08528  	da4dd2f1  	3662533361  	429496
08529  	da5460aa  	3662962858  	429497
08530  	da5aee63  	3663392355  	429497
08531  	da617c1b  	3663821851  	429496
08532  	da6809d4  	3664251348  	429497
08533  	da6e978d  	3664680845  	429497
08534  	da752546  	3665110342  	429497
08535  	da7bb2fe  	3665539838  	429496
08536  	da8240b7  	3665969335  	429497
08537  	da88ce70  	3666398832  	429497
08538  	da8f5c29  	3666828329  	429497
08539  	da95e9e1  	3667257825  	429496
08540  	da9c779a  	3667687322  	429497
08541  	daa30553  	3668116819  	429497
08542  	daa9930c  	3668546316  	429497
08543  	dab020c4  	3668975812  	429496
08544  	dab6ae7d  	3669405309  	429497
08545  	dabd3c36  	3669834806  	429497
08546  	dac3c9ee  	3670264302  	429496
08547  	daca57a7  	3670693799  	429497
08548  	dad0e560  	3671123296  	429497
08549  	dad77319  	3671552793  	429497
08550  	dade00d1  	3671982289  	429496
08551  	dae48e8a  	3672411786  	429497
08552  	daeb1c43  	3672841283  	429497
08553  	daf1a9fc  	3673270780  	429497
08554  	daf837b4  	3673700276  	429496
08555  	dafec56d  	3674129773  	429497
08556  	db055326  	3674559270  	429497
08557  	db0be0de  	3674988766  	429496
08558  	db126e97  	3675418263  	429497
08559  	db18fc50  	3675847760  	429497
08560  	db1f8a09  	3676277257  	429497
08561  	db2617c1  	3676706753  	429496
08562  	db2ca57a  	3677136250  	429497
08563  	db333333  	3677565747  	429497
08564  	db39c0ec  	3677995244  	429497
08565  	db404ea4  	3678424740  	429496
08566  	db46dc5d  	3678854237  	429497
08567  	db4d6a16  	3679283734  	429497
08568  	db53f7ce  	3679713230  	429496
08569  	db5a8587  	3680142727  	429497
08570  	db611340  	3680572224  	429497
08571  	db67a0f9  	3681001721  	429497
08572  	db6e2eb1  	3681431217  	429496
08573  	db74bc6a  	3681860714  	429497
